gene,matrix_index
ZCCHC11,622
GPX7,623
FAM159A,624
ZYG11B,625
ZYG11A,626
ECHDC2,627
SCP2,628
PODN,629
SLC1A7,630
CPT2,631
C1orf123,632
MAGOH,633
LRP8,634
DMRTB1,635
GLIS1,636
YIPF1,637
DIO1,638
HSPB11,639
LRRC42,640
LDLRAD1,641
TMEM59,642
MRPL37,645
SSBP3,646
ACOT11,647
FAM151A,648
TTC4,649
PARS2,651
TTC22,652
DHCR24,653
BSND,655
PCSK9,656
USP24,657
PPAP2B,658
PRKAA2,659
C1orf168,660
C8A,661
C8B,662
DAB1,663
OMA1,664
TACSTD2,665
MYSM1,666
JUN,667
FGGY,668
HOOK1,669
CYP2J2,670
C1orf87,671
NFIA,672
TM2D1,673
INADL,674
L1TD1,675
KANK4,676
USP1,677
DOCK7,678
ANGPTL3,679
ATG4C,680
FOXD3,681
ALG6,682
ITGB3BP,683
EFCAB7,684
PGM1,686
ROR1,687
UBE2U,688
CACHD1,689
RAVER2,690
JAK1,691
DNAJC6,692
LEPROT,693
LEPR,694
PDE4B,695
SGIP1,696
TCTEX1D1,697
INSL5,698
WDR78,699
MIER1,700
SLC35D1,701
IL23R,703
IL12RB2,704
SERBP1,705
GADD45A,706
GNG12,707
DIRAS3,708
WLS,709
RPE65,710
DEPDC1,711
LRRC7,712
LRRC40,713
ANKRD13C,714
HHLA3,715
CTH,716
PTGER3,717
ZRANB2,718
NEGR1,719
LRRIQ3,720
FPGT,721
TNNI3K,722
CRYZ,724
TYW3,725
LHX8,726
SLC44A5,727
ACADM,728
RABGGTB,729
MSH4,733
ASB17,734
ST6GALNAC3,735
ST6GALNAC5,736
PIGK,737
AK5,738
ZZZ3,739
USP33,740
FAM73A,741
NEXN,742
FUBP1,743
DNAJB4,744
GIPC2,745
PTGFR,746
IFI44L,747
IFI44,748
ELTD1,749
LPHN2,750
TTLL7,751
PRKACB,752
SAMD13,753
DNASE2B,755
RPF1,756
GNG5,757
SPATA1,758
CTBS,759
SSX2IP,761
LPAR3,762
MCOLN2,763
WDR63,764
MCOLN3,765
SYDE2,766
C1orf52,767
BCL10,768
DDAH1,769
CYR61,770
ZNHIT6,771
COL24A1,772
ODF2L,773
CLCA2,774
CLCA1,775
CLCA4,776
CLCA3P,777
SH3GLB1,778
HS2ST1,779
LMO4,780
PKN2,781
GTF2B,782
CCBL2,783
RBMXL1,784
GBP3,785
GBP1,786
GBP2,787
GBP7,788
GBP4,789
GBP5,790
GBP6,791
LRRC8B,792
LRRC8C,793
LRRC8D,794
ZNF326,795
BARHL2,796
ZNF644,797
HFM1,798
CDC7,799
TGFBR3,800
BRDT,801
EPHX4,802
BTBD8,803
KIAA1107,804
GLMN,806
RPAP2,807
GFI1,808
EVI5,809
RPL5,810
SNORD21,811
FAM69A,812
MTF2,813
TMED5,814
CCDC18,815
DR1,816
FNBP1L,817
BCAR3,818
DNTTIP2,819
GCLM,820
ABCA4,821
ARHGAP29,822
ABCD3,823
F3,824
SLC44A3,825
CNN3,826
ALG14,827
TMEM56,828
RWDD3,829
PTBP2,830
DPYD,831
SNX7,832
PALMD,835
AGL,837
SLC35A3,838
HIAT1,839
SASS6,840
LRRC39,841
DBT,842
CDC14A,843
VCAM1,845
EXTL2,846
SLC30A7,847
DPH5,848
S1PR1,849
OLFM3,850
COL11A1,851
AMY1A,852
AMY2A,853
AMY2B,854
RNPC3,855
PRMT6,856
NTNG1,857
VAV3,858
SLC25A24,859
NBPF6,861
FAM102B,862
PRPF38B,863
FNDC7,864
STXBP3,865
AKNAD1,866
GPSM2,867
CLCC1,868
WDR47,869
TAF13,870
C1orf194,871
KIAA1324,872
SCARNA2,873
TMEM167B,874
SARS,875
CELSR2,876
PSRC1,877
MYBPHL,878
SORT1,879
PSMA5,880
SYPL2,881
ATXN7L2,882
CYB561D1,883
AMIGO1,884
GPR61,885
GNAI3,886
GNAT2,887
AMPD2,888
GSTM1,889
GSTM2,890
GSTM4,891
GSTM5,892
GSTM3,893
EPS8L3,894
CSF1,895
AHCYL1,896
ALX3,897
UBL4B,898
SLC6A17,899
KCNC4,900
RBM15,901
SLC16A4,902
KCNA10,905
KCNA2,906
KCNA3,907
CD53,908
DRAM2,909
CEPT1,910
DENND2D,911
CHI3L2,912
CHIA,913
OVGP1,914
WDR77,915
ATP5F1,916
C1orf162,917
ADORA3,918
RAP1A,919
DDX20,920
KCND3,921
CTTNBP2NL,922
WNT2B,923
ST7L,924
CAPZA1,925
MOV10,926
RHOC,927
PPM1J,928
FAM19A3,929
SLC16A1,930
LRIG2,931
MAGI3,932
PHTF1,933
RSBN1,934
PTPN22,935
BCL2L15,936
AP4B1,937
DCLRE1B,938
HIPK1,939
OLFML3,940
SYT6,941
TRIM33,942
BCAS2,943
DENND2C,944
AMPD1,945
NRAS,946
CSDE1,947
SIKE1,948
SYCP1,949
TSHB,950
TSPAN2,951
NGF,952
VANGL1,953
CASQ2,954
NHLH2,955
ATP1A1,957
CD58,958
IGSF3,959
CD2,960
PTGFRN,961
CD101,962
TTF2,963
TRIM45,964
VTCN1,965
MAN1A2,966
FAM46C,967
GDAP2,968
WDR3,969
SPAG17,970
TBX15,971
WARS2,972
HAO2,973
HSD3B2,974
HSD3B1,975
ZNF697,976
PHGDH,977
HMGCS2,978
REG4,979
ADAM30,980
NOTCH2,981
ACP6,982
ANKRD34A,983
ANKRD35,984
BCL9,985
BOLA1,986
CD160,987
CHD1L,988
FAM72B,989
FAM72D,990
FCGR1A,991
FCGR1B,992
FMO5,994
GJA5,995
GJA8,996
GPR89A,998
GPR89B,999
HFE2,1001
HIST2H2AA3,1002
HIST2H2AB,1003
HIST2H2AC,1004
HIST2H2BA,1005
HIST2H2BE,1006
HIST2H2BF,1007
HIST2H3C,1008
HIST2H3D,1009
HIST2H4A,1010
ITGA10,1011
LIX1L,1012
NBPF10,1013
NBPF14,1014
NBPF15,1015
NBPF9,1017
NOTCH2NL,1018
PDE4DIP,1020
PDZK1,1022
PEX11B,1023
PIAS3,1024
POLR3C,1025
POLR3GL,1026
PPIAL4B,1027
PPIAL4C,1028
PPIAL4G,1030
PRKAB2,1031
RBM8A,1032
RNF115,1033
SEC22B,1034
SV2A,1035
TXNIP,1036
SF3B4,1037
MTMR11,1038
OTUD7B,1039
VPS45,1040
PLEKHO1,1041
ANP32E,1042
CA14,1043
APH1A,1044
MRPS21,1047
PRPF3,1048
RPRD2,1049
TARS2,1050
ECM1,1051
ADAMTSL4,1052
MCL1,1053
ENSA,1054
GOLPH3L,1055
HORMAD1,1056
CTSS,1057
CTSK,1058
ARNT,1059
SETDB1,1060
ANXA9,1061
FAM63A,1062
PRUNE,1063
BNIPL,1064
C1orf56,1065
CDC42SE1,1066
MLLT11,1067
GABPB2,1068
LYSMD1,1070
SCNM1,1071
TNFAIP8L2,1072
TMOD4,1073
VPS72,1074
PIP5K1A,1075
PSMD4,1076
ZNF687,1077
PI4KB,1078
RFX5,1079
POGZ,1080
PSMB4,1081
SELENBP1,1082
CGN,1083
TUFT1,1085
SNX27,1086
CELF3,1087
MRPL9,1088
OAZ3,1089
TDRKH,1090
RORC,1092
THEM5,1094
THEM4,1095
S100A10,1096
S100A11,1097
TCHHL1,1098
TCHH,1099
RPTN,1100
HRNR,1101
FLG,1102
FLG2,1103
CRNN,1104
LCE5A,1105
CRCT1,1106
LCE3B,1107
LCE3C,1108
LCE3D,1109
LCE3E,1110
LCE3A,1111
LCE2D,1112
LCE2B,1113
LCE2C,1114
LCE2A,1115
LCE4A,1116
C1orf68,1117
KPRP,1118
LCE1F,1119
LCE1C,1120
LCE1D,1121
LCE1E,1122
LCE1B,1123
LCE1A,1124
SMCP,1126
IVL,1127
SPRR4,1128
SPRR1A,1129
SPRR3,1130
SPRR1B,1131
SPRR2D,1132
SPRR2A,1133
SPRR2B,1134
SPRR2E,1135
SPRR2F,1136
SPRR2G,1137
LELP1,1138
LOR,1139
PGLYRP3,1140
PGLYRP4,1141
S100A12,1142
S100A8,1143
S100A9,1144
S100A7A,1145
S100A7L2,1146
S100A7,1147
S100A3,1148
S100A4,1149
S100A6,1151
S100A2,1152
S100A16,1153
S100A14,1154
S100A13,1155
S100A1,1156
SNAPIN,1157
ILF2,1158
NPR1,1159
INTS3,1160
SLC27A3,1161
GATAD2B,1162
DENND4B,1163
CRTC2,1164
SLC39A1,1165
CREB3L4,1166
JTB,1167
RAB13,1168
NUP210L,1169
RPS27,1170
TPM3,1171
C1orf189,1172
C1orf43,1173
UBAP2L,1174
HAX1,1175
AQP10,1176
ATP8B2,1177
IL6R,1178
SHE,1179
TDRD10,1180
UBE2Q1,1181
ADAR,1183
KCNN3,1184
PMVK,1185
PBXIP1,1186
PYGO2,1187
SHC1,1188
FLAD1,1189
LENEP,1190
ZBTB7B,1191
DCST2,1192
DCST1,1193
ADAM15,1194
EFNA3,1195
EFNA4,1196
EFNA1,1197
DPM3,1198
KRTCAP2,1199
TRIM46,1200
MUC1,1201
THBS3,1202
MTX1,1203
GBAP1,1204
GBA,1205
FAM189B,1206
SCAMP3,1207
CLK2,1208
HCN3,1209
PKLR,1210
FDPS,1211
RUSC1,1212
ASH1L,1213
MSTO1,1214
YY1AP1,1215
DAP3,1216
GON4L,1217
SYT11,1218
RIT1,1219
KIAA0907,1220
RXFP4,1221
ARHGEF2,1222
SSR2,1223
UBQLN4,1224
RAB25,1225
MEX3A,1226
LMNA,1227
SEMA4A,1228
SLC25A44,1229
PMF1,1230
BGLAP,1231
PAQR6,1232
SMG5,1233
C1orf85,1234
TMEM79,1235
VHLL,1236
CCT3,1237
RHBG,1238
MEF2D,1240
IQGAP3,1241
APOA1BP,1243
GPATCH4,1244
HAPLN2,1245
BCAN,1246
NES,1247
CRABP2,1248
ISG20L2,1249
MRPL24,1250
HDGF,1251
PRCC,1252
SH2D2A,1253
NTRK1,1254
INSRR,1255
PEAR1,1256
ARHGEF11,1257
ETV3L,1258
ETV3,1259
FCRL5,1260
FCRL4,1261
FCRL3,1262
FCRL2,1263
FCRL1,1264
KIRREL,1266
CD1D,1267
CD1A,1268
CD1B,1270
CD1E,1271
SPTA1,1280
MNDA,1286
PYHIN1,1287
IFI16,1288
AIM2,1289
CADM3,1290
FCER1A,1292
APCS,1296
CRP,1297
DUSP23,1298
FCRL6,1299
SLAMF8,1300
VSIG8,1302
TAGLN2,1304
IGSF9,1305
PIGM,1307
KCNJ10,1308
KCNJ9,1309
IGSF8,1310
ATP1A2,1311
ATP1A4,1312
CASQ1,1313
PEA15,1314
DCAF8,1315
PEX19,1316
COPA,1317
NCSTN,1318
NHLH1,1319
VANGL2,1320
SLAMF6,1321
CD84,1322
SLAMF1,1323
CD48,1324
SLAMF7,1325
LY9,1326
CD244,1327
ITLN1,1328
ITLN2,1329
F11R,1330
USF1,1332
ARHGAP30,1333
PVRL4,1334
KLHDC9,1335
PFDN2,1336
NIT1,1337
DEDD,1338
UFC1,1339
USP21,1340
B4GALT3,1341
PPOX,1342
ADAMTS4,1343
NDUFS2,1344
FCER1G,1345
APOA2,1346
NR1I3,1347
TOMM40L,1348
PCP4L1,1349
MPZ,1350
SDHC,1351
FCGR2A,1353
FCGR2B,1354
FCGR2C,1355
FCGR3A,1356
FCGR3B,1357
HSPA6,1358
FCRLA,1360
DUSP12,1362
ATF6,1363
OLFML2B,1364
NOS1AP,1365
C1orf226,1366
C1orf111,1367
SH2D1B,1368
UHMK1,1369
UAP1,1370
DDR2,1371
HSD17B7,1372
C1orf110,1373
RGS4,1374
RGS5,1375
NUF2,1376
PBX1,1377
LMX1A,1378
RXRG,1379
LRRC52,1380
MGST3,1381
ALDH9A1,1382
TMCO1,1383
UCK2,1384
FAM78B,1385
POGK,1387
TADA1,1388
ILDR2,1389
MAEL,1390
GPA33,1391
DUSP27,1392
POU2F1,1393
CD247,1394
CREG1,1395
RCSD1,1396
MPZL1,1397
ADCY10,1398
DCAF6,1399
GPR161,1400
TIPRL,1401
SFT2D2,1402
ANKRD36BP1,1403
TBX19,1404
XCL2,1405
XCL1,1406
ATP1B1,1408
NME7,1409
BLZF1,1410
SLC19A2,1411
F5,1412
SELP,1413
C1orf112,1414
SELL,1415
SELE,1416
SCYL3,1417
KIFAP3,1418
GORAB,1420
PRRX1,1421
FMO3,1422
FMO2,1424
FMO1,1425
FMO4,1426
MYOC,1427
VAMP4,1428
METTL13,1429
DNM3,1430
PIGC,1431
C1orf105,1432
FASLG,1433
TNFSF18,1434
PRDX6,1436
ANKRD45,1437
KLHL20,1438
CENPL,1439
DARS2,1440
GAS5,1441
ZBTB37,1442
SERPINC1,1443
RC3H1,1444
RABGAP1L,1445
GPR52,1446
CACYBP,1447
MRPS14,1448
TNN,1449
KIAA0040,1450
TNR,1451
RFWD2,1452
SCARNA3,1453
PAPPA2,1454
ASTN1,1455
SEC16B,1457
RASAL2,1458
C1orf220,1459
RALGPS2,1460
FAM20B,1462
TOR3A,1463
ABL2,1464
SOAT1,1465
NPHS2,1466
TDRD5,1467
FAM163A,1468
TOR1AIP2,1469
TOR1AIP1,1470
CEP350,1471
QSOX1,1472
LHX4,1473
ACBD6,1474
XPR1,1475
KIAA1614,1476
STX6,1477
MR1,1478
IER5,1479
CACNA1E,1480
ZNF648,1481
GLUL,1482
TEDDM1,1483
RGSL1,1484
RNASEL,1485
RGS16,1486
RGS8,1487
NPL,1488
DHX9,1489
LAMC1,1490
LAMC2,1491
NMNAT2,1492
SMG7,1493
NCF2,1494
ARPC5,1495
RGL1,1496
APOBEC4,1497
TSEN15,1498
C1orf21,1499
EDEM3,1500
FAM129A,1501
RNF2,1502
IVNS1ABP,1503
HMCN1,1504
PRG4,1505
TPR,1506
C1orf27,1507
PDC,1509
PTGS2,1510
PLA2G4A,1511
RGS18,1513
RGS1,1515
RGS13,1516
RGS2,1517
UCHL5,1518
TROVE2,1519
GLRX2,1520
CDC73,1521
B3GALT2,1522
KCNT2,1523
CFH,1524
CFHR1,1525
CFHR2,1526
CFHR3,1527
CFHR4,1528
CFHR5,1529
F13B,1530
ASPM,1531
ZBTB41,1532
CRB1,1533
DENND1B,1534
C1orf53,1535
LHX9,1536
NEK7,1537
ATP6V1G3,1538
PTPRC,1539
NR5A2,1540
ZNF281,1541
KIF14,1542
DDX59,1543
GPR25,1544
C1orf106,1545
KIF21B,1546
CACNA1S,1547
TMEM9,1548
IGFN1,1549
PKP1,1550
TNNT2,1551
LAD1,1552
TNNI1,1553
PHLDA3,1554
CSRP1,1555
RPS10P7,1556
NAV1,1557
IPO9,1558
SHISA4,1559
LMOD1,1560
TIMM17A,1561
RNPEP,1562
ELF3,1563
GPR37L1,1564
ARL8A,1565
PTPN7,1566
LGR6,1568
UBE2T,1569
PPP1R12B,1570
SYT2,1571
KDM5B,1572
RABIF,1573
KLHL12,1574
ADIPOR1,1575
CYB5R1,1576
TMEM183A,1577
PPFIA4,1578
MYOG,1579
ADORA1,1580
MYBPH,1581
CHI3L1,1582
CHIT1,1583
BTG2,1584
FMOD,1585
PRELP,1586
ATP2B4,1588
LAX1,1589
ZC3H11A,1590
SNRPE,1591
SOX13,1592
ETNK2,1593
REN,1594
KISS1,1595
GOLT1A,1596
PLEKHA6,1597
PPP1R15B,1598
PIK3C2B,1599
MDM4,1600
LRRN2,1601
NFASC,1602
CNTN2,1603
RBBP5,1605
DSTYK,1606
TMCC2,1607
NUAK2,1608
KLHDC8A,1609
LEMD1,1610
CDK18,1611
MFSD4,1612
ELK4,1613
SLC45A3,1614
NUCKS1,1615
SLC41A1,1617
PM20D1,1618
SLC26A9,1619
FAM72A,1620
AVPR1B,1621
C1orf186,1622
CTSE,1623
SRGAP2,1624
IKBKE,1625
RASSF5,1626
DYRK3,1627
MAPKAPK2,1628
IL10,1629
IL24,1632
FAIM3,1633
PIGR,1634
FCAMR,1635
C1orf116,1636
YOD1,1637
PFKFB2,1638
C4BPB,1639
C4BPA,1640
CD55,1641
CR2,1642
CR1,1643
CR1L,1644
CD46,1645
CD34,1646
PLXNA2,1647
CAMK1G,1648
LAMB3,1649
G0S2,1650
HSD11B1,1651
TRAF3IP3,1652
C1orf74,1653
IRF6,1654
SYT14,1655
SERTAD4,1656
HHAT,1657
KCNH1,1658
RCOR3,1659
TRAF5,1660
RD3,1661
SLC30A1,1662
NEK2,1663
LPGAT1,1664
INTS7,1665
DTL,1666
PPP2R5A,1667
TMEM206,1669
NENF,1670
ATF3,1671
FAM71A,1672
BATF3,1673
NSL1,1674
TATDN3,1675
FLVCR1,1677
VASH2,1678
ANGEL2,1679
RPS6KC1,1680
PROX1,1681
SMYD2,1682
PTPN14,1683
CENPF,1684
KCNK2,1685
KCTD3,1686
USH2A,1687
ESRRG,1688
GPATCH2,1689
SPATA17,1690
RRP15,1691
TGFB2,1692
LYPLAL1,1693
SLC30A10,1694
EPRS,1695
BPNT1,1696
IARS2,1697
RAB3GAP2,1698
MARK1,1700
C1orf115,1701
HLX,1702
DUSP10,1703
HHIPL2,1704
TAF1A,1705
MIA3,1706
AIDA,1707
FAM177B,1708
DISP1,1709
TLR5,1710
SUSD4,1711
CAPN8,1713
CAPN2,1714
TP53BP2,1715
FBXO28,1716
DEGS1,1717
NVL,1718
CNIH4,1719
WDR26,1720
CNIH3,1721
DNAH14,1722
LBR,1723
ENAH,1724
SRP9,1725
EPHX1,1726
TMEM63A,1727
LEFTY1,1728
PYCR2,1729
LEFTY2,1730
H3F3A,1731
ACBD3,1732
LIN9,1734
PARP1,1735
ITPKB,1737
PSEN2,1738
CDC42BPA,1739
ZNF678,1740
JMJD4,1741
SNAP47,1742
PRSS38,1743
WNT9A,1744
WNT3A,1745
ARF1,1746
C1orf35,1747
MRPL55,1748
GJC2,1749
GUK1,1750
OBSCN,1751
HIST3H2A,1752
HIST3H2BB,1753
HIST3H3,1754
RNF187,1755
TRIM11,1756
TRIM17,1757
RHOU,1758
RAB4A,1759
ACTA1,1761
NUP133,1762
ABCB10,1763
TAF5L,1764
URB2,1765
GALNT2,1766
PGBD5,1767
COG2,1768
AGT,1769
CAPN9,1770
C1orf198,1771
TTC13,1772
ARV1,1773
FAM89A,1774
TRIM67,1775
C1orf131,1776
GNPAT,1777
EXOC8,1778
EGLN1,1779
TSNAX,1780
DISC1,1781
SIPA1L2,1782
PCNXL2,1783
KCNK1,1784
SLC35F3,1785
TARBP1,1786
IRF2BP2,1787
TOMM20,1788
ARID4B,1789
RBM34,1790
GGPS1,1792
TBCE,1793
B3GALNT2,1794
GNG4,1795
LYST,1796
NID1,1797
GPR137B,1798
ERO1LB,1799
EDARADD,1800
LGALS8,1801
HEATR1,1802
ACTN2,1803
MTR,1804
RYR2,1805
CHRM3,1807
FMN2,1808
RGS7,1810
FH,1811
KMO,1812
OPN3,1813
CHML,1814
EXO1,1816
MAP1LC3C,1817
PLD5,1818
CEP170,1819
SDCCAG8,1820
AKT3,1821
ADSS,1823
